COD,REACCIONES,COMBUSTIBLE,ESTADO,FECHA_REGISTRO,ANIO_REGISTRO,CLASE,DEPARTAMENTO,COMENTARIOS_DESCRIPTIVOS_DE_USUARIOS
77,1052,ELECTRICO,ACTIVO,9/12/2020,2020,MOTOCICLETA,Antioquia,Los fabricantes están mejorando constantemente los modelos eléctricos.
78,158,ELECTRICO,ACTIVO,16/10/2019,2019,TRICIMOTO,Valle del Cauca,Ofrecen una experiencia de conducción futurista.
79,661,ELECTRICO,ACTIVO,02/03/2021,2021,AUTOMOVIL,Valle del Cauca,Los vehículos eléctricos de segunda mano están volviéndose más accesibles.
80,1093,ELECTRICO,ACTIVO,24/05/2013,2013,MOTOCICLETA,Bogota D.C.,Promueven la tecnología y la innovación.
81,1473,ELECTRICO,ACTIVO,30/08/2019,2019,AUTOMOVIL,Bogota D.C.,Los autos eléctricos son ideales para flotas de empresas.
82,367,ELECTRICO,ACTIVO,2/10/2017,2017,AUTOMOVIL,Bogota D.C.,Son más seguros en términos de riesgo de incendio en comparación con los vehículos de gasolina.
83,906,ELECTRICO,ACTIVO,25/11/2021,2021,AUTOMOVIL,Antioquia,Facilitan la independencia energética.
84,479,ELECTRICO,ACTIVO,01/02/2022,2022,BUS,Bogota D.C.,Los costos de seguro pueden ser más bajos para los vehículos eléctricos.
85,452,ELECTRICO,ACTIVO,28/12/2020,2020,CUADRICICLO,Antioquia,Las zonas de baja emisión están incentivando el uso de vehículos eléctricos.
86,540,ELECTRICO,ACTIVO,2/12/2014,2014,MOTOCICLETA,Meta,Los vehículos eléctricos permiten aprovechar la energía solar.
87,702,ELECTRICO,ACTIVO,13/08/2019,2019,AUTOMOVIL,Antioquia,Las reparaciones son menos frecuentes y más económicas.
88,928,ELECTRICO,ACTIVO,24/08/2015,2015,AUTOMOVIL,Bogota D.C.,Son una inversión a largo plazo.
89,403,ELECTRICO,ACTIVO,15/11/2017,2017,AUTOMOVIL,Bogota D.C.,Se integran perfectamente con sistemas de casas inteligentes.
90,1327,ELECTRICO,ACTIVO,30/07/2019,2019,CAMIONETA,Antioquia,"La tecnología está avanzando rápidamente, lo que mejora la eficiencia de los vehículos eléctricos."
91,1320,ELECTRICO,ACTIVO,16/03/2022,2022,CAMIONETA,Antioquia,Contribuyen a un entorno urbano más saludable.
92,618,ELECTRICO,ACTIVO,31/08/2019,2019,AUTOMOVIL,Bogota D.C.,Las estaciones de carga están siendo implementadas en centros comerciales y lugares públicos.
93,27,ELECTRICO,ACTIVO,18/01/2022,2022,CAMIONETA,Bogota D.C.,Son ideales para el car-sharing y otros modelos de movilidad sostenible.
94,1034,ELECTRICO,ACTIVO,28/11/2018,2018,AUTOMOVIL,Bogota D.C.,Las marcas están desarrollando modelos eléctricos en todos los segmentos de mercado.
95,738,ELECTRICO,ACTIVO,21/09/2018,2018,AUTOMOVIL,Antioquia,Fomentan la adopción de políticas verdes.
96,1667,ELECTRICO,ACTIVO,27/02/2020,2020,AUTOMOVIL,Bogota D.C.,La energía utilizada para cargarlos puede provenir de fuentes renovables.
97,1484,ELECTRICO,ACTIVO,28/10/2020,2020,AUTOMOVIL,Antioquia,Las empresas están lanzando modelos con mayor autonomía.
98,916,ELECTRICO,ACTIVO,29/01/2022,2022,CAMIONETA,Bogota D.C.,Las baterías están mejorando en términos de reciclabilidad.
99,934,ELECTRICO,ACTIVO,29/10/2021,2021,AUTOMOVIL,Bogota D.C.,Son una opción atractiva para los jóvenes conductores.
100,8,ELECTRICO,ACTIVO,29/11/2021,2021,AUTOMOVIL,Bogota D.C.,Fomentan el uso de energía verde.
101,602,ELECTRICO,ACTIVO,24/01/2022,2022,BUS,Bogota D.C.,Las grandes ciudades están viendo un aumento en la adopción de vehículos eléctricos.
102,946,ELECTRICO,ACTIVO,26/09/2019,2019,AUTOMOVIL,Antioquia,La experiencia de carga es cada vez más eficiente.
103,1492,ELECTRICO,ACTIVO,11/03/2022,2022,BUS,Bogota D.C.,Las políticas de subsidios están haciendo más accesibles los vehículos eléctricos.
104,963,ELECTRICO,ACTIVO,20/09/2019,2019,AUTOMOVIL,Antioquia,Los vehículos eléctricos están contribuyendo a la mejora de la calidad del aire.
105,1597,ELECTRICO,ACTIVO,9/11/2020,2020,BUS,Bogota D.C.,Son parte integral de los planes de movilidad sostenible.
106,818,ELECTRICO,ACTIVO,30/07/2020,2020,CUADRICICLO,Antioquia,Las baterías tienen un impacto ambiental significativo en su producción.
107,531,ELECTRICO,ACTIVO,15/09/2020,2020,CAMION,Antioquia,La infraestructura de carga es insuficiente en muchas áreas.
108,1208,ELECTRICO,ACTIVO,05/09/2017,2017,AUTOMOVIL,Bogota D.C.,Los costos iniciales son más altos que los de coches de gasolina.
109,1161,ELECTRICO,ACTIVO,27/02/2021,2021,AUTOMOVIL,Antioquia,La ansiedad por la autonomía es un problema común.
110,1445,ELECTRICO,ACTIVO,6/12/2019,2019,BUS,Antioquia,Las baterías pueden ser caras de reemplazar.
111,702,ELECTRICO,ACTIVO,15/08/2013,2013,AUTOMOVIL,Bogota D.C.,La carga puede ser lenta en comparación con el llenado de gasolina.
112,269,ELECTRICO,ACTIVO,29/12/2016,2016,MOTOCICLETA,Antioquia,La electricidad utilizada para cargarlos puede provenir de combustibles fósiles.
113,1167,ELECTRICO,ACTIVO,08/03/2021,2021,CAMIONETA,Bogota D.C.,Pueden tener un alcance limitado antes de necesitar recarga.
114,998,ELECTRICO,ACTIVO,21/02/2022,2022,CAMIONETA,Cundinamarca,La disponibilidad de estaciones de carga es limitada en algunas regiones.
115,785,ELECTRICO,ACTIVO,23/07/2020,2020,CAMIONETA,Bogota D.C.,La producción de vehículos eléctricos puede afectar empleos en la industria automovilística tradicional.
116,511,ELECTRICO,ACTIVO,7/12/2011,2011,MOTOCICLETA,Bogota D.C.,La reparación de vehículos eléctricos requiere técnicos especializados.
117,1144,ELECTRICO,ACTIVO,28/12/2020,2020,AUTOMOVIL,Antioquia,Las baterías tienen una vida útil limitada.
118,1267,ELECTRICO,ACTIVO,28/03/2019,2019,CAMIONETA,Caldas,El reciclaje de baterías aún no está completamente desarrollado.
119,918,ELECTRICO,ACTIVO,23/11/2012,2012,MOTOCICLETA,Bogota D.C.,Los vehículos eléctricos pueden ser menos prácticos para viajes largos.
120,112,ELECTRICO,ACTIVO,30/07/2020,2020,CUADRICICLO,Antioquia,La inversión inicial puede no ser viable para todos.
121,1211,ELECTRICO,ACTIVO,30/05/2017,2017,CAMIONETA,Bogota D.C.,La infraestructura de carga pública puede estar saturada.
122,800,ELECTRICO,ACTIVO,29/12/2020,2020,AUTOMOVIL,Risaralda,Las actualizaciones tecnológicas pueden hacer que los modelos actuales se queden obsoletos rápidamente.
123,1579,ELECTRICO,ACTIVO,5/12/2019,2019,AUTOMOVIL,Bogota D.C.,La autonomía se reduce significativamente en climas fríos.
124,637,ELECTRICO,ACTIVO,15/11/2014,2014,MOTOCICLETA,Meta,Los vehículos eléctricos pueden no ser adecuados para todas las condiciones de conducción.
125,1301,ELECTRICO,ACTIVO,22/07/2014,2014,MOTOCICLETA,Santander,La falta de estandarización en los conectores de carga puede ser un problema.
126,611,ELECTRICO,ACTIVO,19/04/2021,2021,AUTOMOVIL,Antioquia,Los tiempos de carga varían mucho según la capacidad de la estación.
127,1274,ELECTRICO,ACTIVO,17/06/2020,2020,AUTOMOVIL,Bogota D.C.,La producción de baterías depende de materiales no renovables.
128,38,ELECTRICO,ACTIVO,02/06/2021,2021,CUADRICICLO,Santander,Los incentivos gubernamentales pueden no ser suficientes.
129,77,ELECTRICO,ACTIVO,15/07/2021,2021,CAMIONETA,Antioquia,La disponibilidad de modelos eléctricos en algunas regiones es limitada.
130,1427,ELECTRICO,ACTIVO,11/10/2012,2012,MOTOCICLETA,Bogota D.C.,La percepción pública puede ser negativa debido a la falta de información.
131,794,ELECTRICO,ACTIVO,19/12/2016,2016,AUTOMOVIL,Bogota D.C.,Las estaciones de carga pueden estar ubicadas en lugares poco convenientes.
132,78,ELECTRICO,ACTIVO,28/10/2020,2020,AUTOMOVIL,Meta,La tecnología de vehículos eléctricos aún está en evolución.
133,27,ELECTRICO,ACTIVO,30/03/2022,2022,CUADRICICLO,Antioquia,Los vehículos eléctricos pueden tener un menor valor de reventa.
134,1446,ELECTRICO,ACTIVO,08/06/2020,2020,AUTOMOVIL,Bogota D.C.,Las baterías pueden presentar riesgos de seguridad si no se manejan adecuadamente.
135,446,ELECTRICO,ACTIVO,28/12/2020,2020,CUADRICICLO,Antioquia,La fabricación de vehículos eléctricos consume una gran cantidad de recursos.
136,53,ELECTRICO,ACTIVO,9/11/2020,2020,BUS,Bogota D.C.,Las compañías de seguros pueden cobrar primas más altas.
137,725,ELECTRICO,ACTIVO,28/12/2020,2020,CUADRICICLO,Antioquia,La producción de electricidad puede no ser lo suficientemente verde.
138,1312,ELECTRICO,ACTIVO,16/09/2021,2021,AUTOMOVIL,Cundinamarca,Los vehículos eléctricos pueden tener menos opciones de personalización.
139,1288,ELECTRICO,ACTIVO,13/02/2015,2015,MOTOCICLETA,Antioquia,La autonomía puede ser insuficiente para ciertas aplicaciones comerciales.
140,1044,ELECTRICO,ACTIVO,20/10/2021,2021,CAMION,Antioquia,Las soluciones de carga rápida pueden ser caras.
141,1365,ELECTRICO,ACTIVO,05/02/2019,2019,TRICIMOTO,Bogota D.C.,Los vehículos eléctricos pueden tener un peso mayor debido a las baterías.
142,1200,ELECTRICO,ACTIVO,13/11/2020,2020,BUS,Bogota D.C.,La tecnología de baterías aún no ha alcanzado su máximo potencial.
143,1173,ELECTRICO,ACTIVO,26/11/2021,2021,CUADRICICLO,Bogota D.C.,Los vehículos eléctricos pueden necesitar más espacio para estacionamiento debido a la infraestructura de carga.
144,140,ELECTRICO,ACTIVO,11/03/2020,2020,CAMIONETA,Antioquia,La infraestructura de carga puede no estar bien distribuida.
145,249,ELECTRICO,ACTIVO,11/11/2020,2020,BUS,Bogota D.C.,Las reparaciones fuera de garantía pueden ser costosas.
146,1345,ELECTRICO,ACTIVO,11/03/2020,2020,CAMIONETA,Antioquia,El mercado de vehículos eléctricos de segunda mano es limitado.
147,138,ELECTRICO,ACTIVO,6/12/2019,2019,BUS,Antioquia,La integración con sistemas eléctricos domésticos puede ser complicada.
148,1378,ELECTRICO,ACTIVO,2/11/2010,2010,MOTOCICLETA,Antioquia,Los vehículos eléctricos pueden tener una aceleración menos emocionante.
149,85,ELECTRICO,ACTIVO,16/10/2015,2015,MOTOCICLETA,Bogota D.C.,La durabilidad de las baterías puede disminuir con el tiempo.
150,1074,ELECTRICO,ACTIVO,12/05/2021,2021,CUADRICICLO,Antioquia,El costo de las baterías puede seguir siendo un obstáculo.
151,1630,ELECTRICO,ACTIVO,27/06/2016,2016,MOTOCICLETA,Bogota D.C.,La tecnología de carga inalámbrica aún no está completamente desarrollada.
152,957,ELECTRICO,ACTIVO,12/12/2018,2018,CUADRICICLO,Cundinamarca,La adopción masiva de vehículos eléctricos puede sobrecargar la red eléctrica.
153,1574,ELECTRICO,ACTIVO,04/07/2018,2018,MOTOCICLETA,Valle del Cauca,La falta de experiencia en la industria puede llevar a problemas de confiabilidad.
154,174,ELECTRICO,ACTIVO,21/02/2022,2022,AUTOMOVIL,Bogota D.C.,La producción de vehículos eléctricos requiere cambios significativos en las fábricas.
155,245,ELECTRICO,ACTIVO,02/03/2021,2021,AUTOMOVIL,Bogota D.C.,La infraestructura de carga en áreas rurales es casi inexistente.
156,1066,ELECTRICO,ACTIVO,20/10/2014,2014,AUTOMOVIL,Bogota D.C.,"Los vehículos eléctricos son una opción interesante, pero aún en desarrollo."
157,1044,ELECTRICO,ACTIVO,24/02/2021,2021,AUTOMOVIL,Bogota D.C.,"La tecnología está mejorando rápidamente, lo que podría resolver muchos problemas actuales."
158,448,ELECTRICO,ACTIVO,25/11/2021,2021,CAMION,Antioquia,"Son una buena opción para ciertas personas, pero no para todos."
159,1663,ELECTRICO,ACTIVO,15/01/2022,2022,BUS,Bogota D.C.,La decisión de comprar un vehículo eléctrico depende de las necesidades individuales.
160,1122,ELECTRICO,ACTIVO,05/09/2012,2012,MOTOCICLETA,Bogota D.C.,La adopción de vehículos eléctricos varía mucho según la región.
161,850,ELECTRICO,ACTIVO,14/09/2021,2021,AUTOMOVIL,Bogota D.C.,La inversión en infraestructura es crucial para su éxito.
162,198,ELECTRICO,ACTIVO,22/10/2021,2021,CAMIONETA,Antioquia,La elección entre vehículos eléctricos y de gasolina depende de factores personales y económicos.
163,775,ELECTRICO,ACTIVO,29/12/2020,2020,MOTOCICLETA,Risaralda,La transición a vehículos eléctricos puede ser gradual y no inmediata.
164,1248,ELECTRICO,ACTIVO,09/09/2019,2019,AUTOMOVIL,Bogota D.C.,La tecnología de baterías necesita más innovación para ser completamente viable.
165,671,ELECTRICO,ACTIVO,03/01/2022,2022,CAMION,Antioquia,"Los vehículos eléctricos tienen potencial, pero aún enfrentan desafíos."
166,942,ELECTRICO,ACTIVO,03/09/2014,2014,MOTOCICLETA,Valle del Cauca,Los costos iniciales pueden ser compensados por ahorros a largo plazo.
167,1343,ELECTRICO,ACTIVO,15/01/2022,2022,BUS,Bogota D.C.,Los vehículos eléctricos son parte de una tendencia hacia la sostenibilidad.
168,44,ELECTRICO,ACTIVO,19/02/2020,2020,CAMIONETA,Antioquia,"La carga en casa es conveniente, pero no todos tienen esa opción."
169,1138,ELECTRICO,ACTIVO,30/12/2021,2021,CAMIONETA,Bogota D.C.,Las políticas gubernamentales pueden influir en la adopción de vehículos eléctricos.
170,260,ELECTRICO,ACTIVO,25/03/2022,2022,CUADRICICLO,Antioquia,La aceptación social de los vehículos eléctricos está creciendo.
171,370,ELECTRICO,ACTIVO,28/11/2012,2012,MOTOCICLETA,Antioquia,Los vehículos eléctricos pueden ser ideales para ciertos usos comerciales.
172,267,ELECTRICO,ACTIVO,5/11/2020,2020,BUS,Bogota D.C.,La tecnología de conducción autónoma puede complementar los vehículos eléctricos.
173,1424,ELECTRICO,ACTIVO,24/05/2013,2013,MOTOCICLETA,Bogota D.C.,"La infraestructura de carga está mejorando, pero aún hay un largo camino por recorrer."
174,269,ELECTRICO,ACTIVO,28/11/2019,2019,BUS,Antioquia,La producción de vehículos
175,1489,ELECTRICO,ACTIVO,28/11/2012,2012,MOTOCICLETA,Antioquia,Los vehículos eléctricos están ayudando a crear más empleos verdes.
176,1677,ELECTRICO,ACTIVO,19/11/2021,2021,CAMIONETA,Cundinamarca,La experiencia de conducción es más relajante sin el ruido del motor.
177,94,ELECTRICO,ACTIVO,15/08/2013,2013,AUTOMOVIL,Bogota D.C.,Las flotas de taxis eléctricos están reduciendo significativamente la contaminación en las ciudades.
178,1445,ELECTRICO,ACTIVO,15/07/2016,2016,CAMIONETA,Bogota D.C.,Las iniciativas de ciudades inteligentes están integrando más vehículos eléctricos.
179,572,ELECTRICO,ACTIVO,30/07/2021,2021,AUTOMOVIL,Antioquia,Los vehículos eléctricos están motivando a los jóvenes a estudiar ingeniería y tecnología.
180,1438,ELECTRICO,ACTIVO,30/08/2010,2010,AUTOMOVIL,Bogota D.C.,La tecnología de carga bidireccional permite que los vehículos eléctricos devuelvan energía a la red.
181,1228,ELECTRICO,ACTIVO,26/01/2022,2022,BUS,Bogota D.C.,Los vehículos eléctricos están fomentando la innovación en el diseño automotriz.
182,1579,ELECTRICO,ACTIVO,24/01/2022,2022,BUS,Bogota D.C.,"Con el tiempo, los costos de las baterías están disminuyendo."
183,911,ELECTRICO,ACTIVO,22/05/2019,2019,AUTOMOVIL,Bogota D.C.,Los vehículos eléctricos están haciendo que el transporte sea más accesible para personas con discapacidades.
184,487,ELECTRICO,ACTIVO,30/03/2019,2019,CUADRICICLO,Antioquia,Las iniciativas gubernamentales están apoyando la infraestructura de carga en las zonas rurales.
185,1361,ELECTRICO,ACTIVO,23/09/2016,2016,MOTOCICLETA,Valle del Cauca,Los vehículos eléctricos son ideales para las entregas de última milla.
186,994,ELECTRICO,ACTIVO,27/08/2019,2019,AUTOMOVIL,Bogota D.C.,Están ayudando a reducir la dependencia del petróleo importado.
187,847,ELECTRICO,ACTIVO,24/01/2022,2022,BUS,Bogota D.C.,Los vehículos eléctricos pueden contribuir a la estabilidad de la red eléctrica.
188,674,ELECTRICO,ACTIVO,27/02/2020,2020,AUTOMOVIL,Bogota D.C.,Están promoviendo el desarrollo de nuevas tecnologías de energía renovable.
189,1066,ELECTRICO,ACTIVO,22/09/2021,2021,MOTOCARRO,Cundinamarca,Los avances en tecnología de baterías están extendiendo la vida útil de los vehículos eléctricos.
190,1293,ELECTRICO,ACTIVO,2/12/2021,2021,CAMIONETA,Bogota D.C.,Están motivando a las empresas a reducir su huella de carbono.
191,1636,ELECTRICO,ACTIVO,26/01/2022,2022,BUS,Bogota D.C.,Los vehículos eléctricos están ayudando a limpiar el aire en las zonas urbanas.
192,196,ELECTRICO,ACTIVO,22/05/2019,2019,AUTOMOVIL,Bogota D.C.,Las empresas están lanzando más modelos eléctricos deportivos.
